"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","defunciones_personas","sexo","generacion"
"2025","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","461606.790426","Total","Total generacion"
"2026","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","465744.039986","Total","Total generacion"
"2027","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","469901.776734","Total","Total generacion"
"2028","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","474051.356075","Total","Total generacion"
"2029","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","478507.442147","Total","Total generacion"
"2030","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","483253.651793","Total","Total generacion"
"2031","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","488296.021153","Total","Total generacion"
"2032","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","493716.691984","Total","Total generacion"
"2033","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","499547.147493","Total","Total generacion"
"2034","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","505757.819923","Total","Total generacion"
"2035","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","512273.933641","Total","Total generacion"
"2036","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","519220.69656","Total","Total generacion"
"2037","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","526331.33973","Total","Total generacion"
"2038","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","533594.598432","Total","Total generacion"
"2039","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","541040.828134","Total","Total generacion"
"2040","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","549246.8537","Total","Total generacion"
"2041","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","557031.27868","Total","Total generacion"
"2042","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","565059.317489","Total","Total generacion"
"2043","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","573345.839902","Total","Total generacion"
"2044","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","582046.890542","Total","Total generacion"
"2045","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","590787.032447","Total","Total generacion"
"2046","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","599376.945143","Total","Total generacion"
"2047","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","608038.351265","Total","Total generacion"
"2048","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","616820.401972","Total","Total generacion"
"2049","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","625308.224291","Total","Total generacion"
"2050","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","633581.52715","Total","Total generacion"
"2051","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","641779.793418","Total","Total generacion"
"2052","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","649857.084651","Total","Total generacion"
"2053","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","657569.093691","Total","Total generacion"
"2054","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","664859.810555","Total","Total generacion"
"2055","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","671800.047661","Total","Total generacion"
"2056","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","678236.209878","Total","Total generacion"
"2057","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","684217.454603","Total","Total generacion"
"2058","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","689499.089746","Total","Total generacion"
"2059","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","694084.591294","Total","Total generacion"
"2060","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","697981.096023","Total","Total generacion"
"2061","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","701083.621868","Total","Total generacion"
"2062","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","703496.965296","Total","Total generacion"
"2063","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","705231.224375","Total","Total generacion"
"2064","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","706919.668105","Total","Total generacion"
"2065","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","707636.781976","Total","Total generacion"
"2066","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","707572.572479","Total","Total generacion"
"2067","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","706823.048766","Total","Total generacion"
"2068","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","705275.794033","Total","Total generacion"
"2069","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","703097.703701","Total","Total generacion"
"2070","Total Nacional","Numero de defunciones","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36646","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36646?tip=AM","700336.673691","Total","Total generacion"
